0,1,2,3,4,5
6725,1,0.00925,99.6696,32.2454,-62.7347
6725,3,0.0380746,99.6697,32.2446,-62.7344
96353,1,0.00925,99.9975,15.5433,-14.5872
96353,4,0.0265342,99.9978,15.543,-14.5873
96422,1,0.06332,98.9805,-42.8942,-74.7085
96422,3,0.0369954,98.9804,-42.8949,-74.7082
149072,1,0.06332,99.9209,55.6165,-42.8457
149072,3,0.0135981,99.921,55.6163,-42.8456
151656,1,0.010876,99.4661,-50.0175,-47.9241
151656,3,0.0281215,99.4661,-50.0173,-47.9237
286964,1,0.06332,99.8183,68.2897,-29.4413
286964,3,0.00541915,99.8183,68.2897,-29.4413
394641,1,0.06332,98.995,55.1704,41.2098
394641,3,0.0343437,98.9945,55.1706,41.2102
542464,1,0.06332,99.625,-72.881,26.3386
542464,3,0.00960352,99.625,-72.8809,26.3386
687411,1,0.06332,99.3434,-59.6347,-62.5746
687411,3,0.019293,99.3433,-59.6345,-62.5745
788813,1,0.06332,99.8852,-5.06687,-66.5645
788813,3,0.0267331,99.8849,-5.06677,-66.5643
789471,1,0.010355,99.648,-35.8196,-8.19346
789471,4,0.0957528,99.6453,-35.8185,-8.19169
845987,1,0.010876,99.2637,20.9532,-50.8358
845987,3,0.0428661,99.2629,20.9528,-50.8357
896581,1,0.06332,99.4395,39.826,71.8005
896581,3,0.0179025,99.4393,39.826,71.8003
896723,1,0.06332,99.9862,75.259,-45.4063
896723,3,0.0538122,99.9856,75.2578,-45.406
937770,1,0.06332,99.787,34.3013,-37.1451
937770,3,0.0194839,99.7872,34.3013,-37.1454
991139,1,0.00925,99.7793,-12.2151,65.9026
991139,3,0.0311928,99.7791,-12.215,65.9031
1037252,1,0.002032,98.9673,16.8042,-45.7742
1037252,3,0.0583172,98.9676,16.8034,-45.7729
1243257,1,0.06332,99.7607,29.8998,-25.9495
1243257,3,0.0540381,99.7603,29.8999,-25.9508
1245220,1,0.010355,99.6059,-47.6714,-71.789
1245220,3,0.0180214,99.6057,-47.6718,-71.7878
1245220,3,0.0279493,99.606,-47.6715,-71.7881
1245220,4,0.00227,99.6065,-47.6719,-71.7875
1245220,5,0.00115102,99.6065,-47.6719,-71.7875
1293261,1,0.06332,99.689,-23.8814,74.5416
1293261,3,0.0241858,99.6892,-23.8811,74.5418
1394588,1,0.06332,99.9257,0.1595,66.8527
1394588,3,0.0178906,99.9257,0.159741,66.8527
1663950,1,0.06332,99.7045,57.9769,-41.1332
1663950,4,0.0220015,99.7043,57.9769,-41.133
1714211,1,0.010876,99.9452,29.0708,-71.3889
1714211,3,0.04531,99.9449,29.0708,-71.3899
1861779,1,0.010355,99.2627,12.722,-28.2784
1861779,4,0.0437342,99.2623,12.7218,-28.2793
1861779,3,0.0079908,99.1759,13.0948,-28.1426
1962979,1,0.06332,99.9941,39.6976,-55.2703
1962979,3,0.0140843,99.994,39.6977,-55.2702
1963439,1,0.010876,99.7938,-23.8154,29.8369
1963439,3,0.0523452,99.7943,-23.8143,29.8365
2049270,1,0.010355,99.6439,13.3901,-69.9442
2049270,3,0.0427428,99.6433,13.3895,-69.9446
2051461,1,0.06332,99.8066,19.7326,-9.36726
2051461,4,0.0229141,99.8065,19.7326,-9.36692
2051614,1,0.06332,99.8278,18.0774,-37.5859
2051614,3,0.00432955,99.8278,18.0774,-37.5859
2103649,1,0.06332,99.9399,65.8602,25.3207
2103649,4,0.0194509,99.9396,65.8603,25.3207
2153373,1,0.010355,99.7912,-21.1066,22.3548
2153373,3,0.0314634,99.791,-21.1067,22.3543
2154027,1,0.00925,99.8396,7.93632,-66.4248
2154027,3,0.038043,99.839,7.93614,-66.4243
2154496,1,0.06332,99.3788,-13.385,-60.8783
2154496,3,0.0192734,99.3789,-13.3848,-60.8785
2477560,1,0.010876,99.9624,-51.0698,66.4746
2477560,3,0.0309707,99.9622,-51.0701,66.4742
2477818,1,0.06332,99.8725,-60.2953,51.3663
2477818,3,0.0433654,99.8721,-60.2962,51.3662
2525697,1,0.06332,99.5638,-37.1322,-58.6477
2525697,3,0.0080523,99.5638,-37.1322,-58.6477
2569179,1,0.06332,99.9585,-7.10757,-49.4253
2569179,3,0.0254517,99.9583,-7.10719,-49.4253
