#class tools::wcsv::ntuple
#title Particle Energy Data
#separator 44
#vector_separator 59
#column int EventID
#column int TrackID
#column double Edep
#column double PosX
#column double PosY
#column double PosZ
#column int DetectorID
28544,1,0.06332,401.334,46.6195,-20.0287,3
28544,3,0.0325163,401.334,46.6195,-20.0293,3
28567,1,0.040446,499.928,8.54699,-27.0348,3
28567,3,0.00930639,499.928,8.54704,-27.0349,3
29907,1,0.06332,499.638,9.34513,-79.5285,3
29907,3,0.00463569,499.638,9.34511,-79.5285,3
30377,1,0.002032,499.681,12.9637,-86.7197,3
30377,3,0.0355478,499.681,12.9634,-86.719,3
30524,1,0.06332,499.998,-51.2219,-52.3522,1
30524,3,0.00273334,499.998,-51.2219,-52.3522,1
98697,1,0.010355,499.89,16.4578,-42.6272,3
98697,3,0.0280198,499.89,16.4581,-42.6275,3
99986,1,0.06332,499.886,20.8797,-51.9965,3
99986,3,0.0369981,499.886,20.8794,-51.9972,3
100020,1,0.002499,499.995,-47.8687,-93.8593,1
100020,3,0.0306681,499.995,-47.8692,-93.8593,1
100043,1,0.00925,499.799,-25.5384,-35.2961,1
100043,3,0.0456442,499.799,-25.5391,-35.297,1
100792,1,0.06332,479.552,20.5081,-20.1497,3
100792,3,0.00732284,479.552,20.5081,-20.1498,3
100815,1,0.010876,499.951,79.0752,-159.688,2
100815,3,0.0833702,499.949,79.074,-159.69,2
148906,1,0.06332,499.903,4.32327,-62.1487,3
148906,3,0.00790173,499.903,4.32323,-62.1488,3
149072,1,0.06332,499.919,35.3958,-27.2682,3
149072,3,0.0135981,499.919,35.3957,-27.2681,3
151635,1,0.06332,499.865,-64.7888,-173.452,0
151635,3,0.000156113,499.865,-64.7888,-173.452,0
151656,1,0.010876,488.939,-20.9137,-20.0384,1
151656,3,0.0281215,488.938,-20.9134,-20.038,1
199573,1,0.010876,495.3,-15.2289,-20.2347,1
199573,3,0.0491014,495.299,-15.2289,-20.2342,1
200135,1,0.002499,499.833,34.057,-60.7207,3
200135,3,0.0454546,499.834,34.0574,-60.7214,3
202285,1,0.06332,499.535,-44.8695,-91.6481,1
202285,4,0.025478,499.535,-44.8698,-91.6483,1
202315,1,0.010876,499.991,-66.8914,-62.4269,1
202315,3,0.0104983,499.994,-66.8926,-62.4239,1
202315,3,0.00525223,499.996,-66.8941,-62.4238,1
202315,3,0.00322809,499.995,-66.8949,-62.424,1
202315,3,0.00930857,499.993,-66.8957,-62.4248,1
202315,3,0.0383169,499.993,-66.8962,-62.4242,1
272754,1,0.010876,499.506,-12.9895,-162.806,0
272754,3,0.0423488,499.507,-12.9887,-162.807,0
273089,1,0.00227,498.728,44.6283,-171.675,2
273089,3,0.0534763,498.727,44.6279,-171.675,2
322867,1,0.010876,499.579,-31.461,-71.6744,1
322867,3,0.0447218,499.579,-31.4604,-71.6753,1
324320,1,0.010876,495.965,-6.777,-20.0324,1
324320,3,0.0395349,495.965,-6.7764,-20.0329,1
324327,1,0.00925,494.383,-44.7545,-20.0509,1
324327,3,0.039063,494.382,-44.7547,-20.0507,1
325489,1,0.06332,499.903,-32.1301,-150.346,0
325489,3,0.0222876,499.902,-32.1302,-150.346,0
376330,1,0.002499,499.844,-9.46753,-36.4456,1
376330,3,0.0676084,499.846,-9.4687,-36.4455,1
376526,1,0.00042,499.651,-13.5797,-124.989,0
376526,3,0.0419661,499.65,-13.5794,-124.99,0
376646,1,0.010876,499.546,32.8565,-33.2218,3
376646,3,0.0420191,499.545,32.8572,-33.2214,3
376696,1,0.06332,498.971,-14.171,-26.9569,1
376696,3,0.0416112,498.971,-14.1703,-26.9565,1
377063,1,0.00925,499.964,26.7846,-60.0078,3
377063,3,0.023642,499.963,26.7846,-60.008,3
377321,1,0.06332,499.903,3.17204,-102.069,2
377321,3,0.00865613,499.903,3.17205,-102.069,2
377621,1,0.000514,499.929,-77.1522,-133.783,0
377621,3,0.0475232,499.929,-77.1522,-133.782,0
462194,1,0.00227,456.632,18.1987,-20.0122,3
462194,3,0.0352961,456.631,18.1991,-20.0125,3
462744,1,0.06332,499.998,8.89749,-57.8314,3
462744,3,0.0197554,499.997,8.89756,-57.8315,3
551386,1,0.00925,499.822,9.84936,-165.829,2
551386,3,0.086137,499.821,9.85031,-165.826,2
552068,1,0.010355,476.173,-5.37971,-20.0427,1
552068,3,0.0617106,476.174,-5.37947,-20.0444,1
552426,1,0.06332,499.986,-55.3357,-31.9389,1
552426,3,0.00596956,499.986,-55.3357,-31.9389,1
623368,1,0.010876,499.409,42.7869,-56.6333,3
623368,3,0.0374359,499.409,42.7867,-56.6329,3
623864,1,0.010876,499.8,-58.5145,-111.224,0
623864,3,0.0267321,499.8,-58.5142,-111.224,0
623921,1,0.06332,499.219,-79.1491,-90.6669,1
623921,3,0.0326312,499.219,-79.1496,-90.6672,1
624558,1,0.06332,499.965,75.9136,-35.3596,3
624558,3,0.00350748,499.965,75.9136,-35.3596,3
677737,1,0.00925,392.154,-31.2166,-20.0106,1
677737,3,0.0388915,392.153,-31.2168,-20.0111,1
678966,1,0.010355,499.718,-23.6371,-56.4176,1
678966,4,0.0399834,499.718,-23.6377,-56.4181,1
678966,3,0.000860962,499.792,-23.6473,-56.3605,1
679783,1,0.010876,491.691,15.807,-20.3145,3
679783,3,0.03488,491.691,15.8072,-20.3151,3
737762,1,0.00925,499.773,-19.4492,-144.804,0
737762,3,0.0334533,499.772,-19.4496,-144.804,0
737907,1,0.06332,498.352,36.9377,-150.098,2
737907,5,0.0510838,498.351,36.937,-150.098,2
788499,1,0.06332,499.965,38.8848,-145.925,2
788499,3,0.00397945,499.965,38.8848,-145.925,2
788777,1,0.010876,499.97,-3.74364,-20.3077,1
788777,3,0.0331966,499.97,-3.74389,-20.3083,1
788813,1,0.06332,499.883,-3.22668,-42.3895,1
788813,3,0.0267331,499.882,-3.22658,-42.3892,1
848158,1,0.06332,499.62,-59.4231,-63.2659,1
848158,6,0.0278273,499.62,-59.4236,-63.2659,1
848158,5,0.0235011,499.595,-59.3711,-63.4068,1
849557,1,0.00227,499.904,26.3412,-31.6681,3
849557,3,0.037725,499.904,26.3418,-31.6685,3
850320,1,0.00925,499.976,-0.132899,-47.6621,1
850320,3,0.0426775,499.976,-0.132209,-47.6617,1
905136,1,0.00925,417.92,79.8187,-95.7031,3
905136,3,0.0341781,417.92,79.8193,-95.7027,3
905563,1,0.06332,499.35,-49.6909,-45.7151,1
905563,3,0.0220232,499.35,-49.6911,-45.7154,1
906254,1,0.001844,499.921,8.81247,-157.84,2
906254,3,0.0377051,499.92,8.81233,-157.839,2
906401,1,0.06332,499.728,-32.1237,-173.59,0
906401,7,0.0279195,499.728,-32.1234,-173.59,0
1013136,1,3.9e-05,499.785,1.4545,-21.6582,3
1013136,3,0.0580955,499.785,1.45323,-21.6585,3
1013684,1,0.010355,499.437,-46.2976,-174.414,0
1013684,3,0.0373831,499.437,-46.2981,-174.413,0
1014467,1,0.010876,470.98,8.9299,-20.2032,3
1014467,3,0.0305676,470.979,8.92987,-20.2028,3
1014975,1,0.010876,499.939,34.8545,-40.821,3
1014975,3,0.0283776,499.94,34.8547,-40.8212,3
1100700,1,0.010876,499.541,-19.074,-36.2552,1
1100700,3,0.0399283,499.541,-19.0748,-36.2548,1
1100921,1,0.06332,499.961,31.4436,-120.306,2
